Word_Count,Section_Count,Has_Links,Skill_Count,ATS_Score
629,4,1,11,82.7
507,3,1,15,83.1
444,4,0,18,92.6
549,6,0,21,100.0
916,2,0,23,94.9
897,6,1,22,100.0
460,4,1,22,96.0
551,3,1,9,74.3
850,5,1,11,91.9
919,5,0,14,86.1
601,7,0,15,92.8
911,7,0,8,84.9
181,2,0,8,63.5
491,3,0,23,92.1
790,5,1,6,81.2
885,3,0,11,82.4
761,3,0,7,67.3
305,4,0,24,93.3
820,5,0,23,97.4
827,4,1,3,76.7
728,6,0,10,84.8
936,7,0,15,95.1
590,6,0,23,100.0
334,2,0,19,84.4
479,5,1,21,100.0
845,5,1,11,89.5
654,7,1,13,93.0
762,5,1,10,89.7
356,4,1,20,92.4
580,5,1,8,82.3
512,2,0,20,89.2
962,7,0,18,100.0
888,7,1,16,100.0
791,3,0,14,86.3
694,3,0,7,76.0
414,3,0,21,92.5
585,2,0,25,97.9
902,5,1,6,81.9
239,4,0,15,78.2
777,2,0,10,77.2
405,4,1,4,74.8
211,3,0,22,81.8
640,3,1,25,100.0
640,5,0,8,80.1
855,5,0,19,91.4
318,5,0,4,67.5
557,2,0,3,64.3
813,2,1,23,100.0
680,3,1,22,95.8
601,6,0,12,92.3
266,5,1,15,92.1
946,6,1,11,94.9
835,5,1,23,100.0
462,6,1,24,100.0
628,3,1,20,95.4
630,5,0,14,84.6
386,2,1,6,72.4
694,4,1,21,100.0
593,3,1,15,86.7
314,7,0,22,98.6
472,6,0,15,93.0
917,4,0,4,67.8
798,4,1,18,94.5
656,3,1,24,100.0
783,7,1,23,100.0
306,3,1,25,95.5
493,5,0,6,71.9
471,2,1,3,67.1
167,7,0,9,82.4
665,4,1,25,100.0
368,5,1,10,86.2
833,7,1,13,100.0
313,7,1,14,89.9
761,6,0,18,93.5
219,6,1,22,100.0
581,5,0,7,81.2
883,5,1,12,88.7
541,3,1,14,89.2
667,2,0,15,75.8
719,3,1,12,85.1
682,7,1,5,88.9
725,2,1,8,78.7
259,2,0,18,81.6
906,3,0,21,94.5
690,3,1,12,85.1
785,2,0,17,82.0
804,5,1,12,94.9
869,7,0,22,100.0
979,4,0,8,77.3
546,4,0,15,81.1
462,7,0,20,100.0
342,3,1,4,69.1
613,7,0,22,100.0
927,4,0,10,82.2
687,6,1,24,100.0
937,7,1,7,88.2
242,6,0,22,97.0
910,2,0,21,91.5
266,4,0,23,88.4
383,7,0,14,86.0
154,3,0,9,66.2
862,2,1,16,85.0
242,6,0,22,93.7
352,4,1,25,100.0
444,4,0,7,71.2
151,2,0,9,61.3
764,4,0,6,72.1
213,7,0,24,99.5
436,7,1,16,95.3
698,5,1,23,100.0
198,7,0,17,87.3
715,7,0,9,91.4
813,3,0,11,75.0
512,4,0,17,83.8
777,6,1,19,100.0
922,7,0,19,100.0
766,7,1,16,100.0
503,7,1,5,78.9
218,4,1,6,67.6
809,5,1,24,100.0
860,4,1,25,100.0
788,6,1,8,86.6
601,3,0,11,74.4
824,6,0,16,98.8
323,5,0,15,82.5
811,4,1,17,90.5
176,4,1,7,69.3
220,2,1,21,91.7
836,6,1,9,89.0
558,7,1,5,84.5
199,2,1,21,88.0
830,5,1,14,97.5
964,2,1,14,81.8
497,3,0,3,66.4
318,5,1,7,78.0
781,6,1,18,100.0
537,3,1,15,83.9
318,3,0,18,82.4
604,5,0,10,79.0
777,6,1,10,85.6
335,4,1,4,70.3
192,2,0,8,65.2
229,5,1,9,82.1
214,7,1,17,94.9
283,7,0,3,69.7
802,7,0,23,100.0
305,2,1,23,94.4
945,7,0,15,100.0
569,7,1,3,83.7
484,3,0,12,78.0
647,7,1,4,81.7
429,2,1,9,68.9
229,3,1,25,94.6
898,4,1,3,69.2
658,7,0,14,96.3
835,6,0,9,82.8
421,7,0,22,100.0
532,3,0,19,85.7
986,4,1,23,98.8
258,3,0,13,72.3
447,2,0,24,94.0
280,6,0,7,78.5
163,5,1,3,72.1
399,7,1,15,93.2
865,2,1,23,100.0
355,7,1,5,78.4
248,6,1,19,91.7
351,7,1,4,83.9
231,6,0,17,91.9
757,4,1,6,81.1
433,6,1,3,73.6
685,2,0,4,67.6
421,7,0,9,83.1
934,4,1,19,93.1
634,5,0,5,75.4
572,4,1,16,90.5
350,3,1,25,99.4
204,6,0,17,83.2
894,4,1,22,100.0
604,7,1,20,100.0
863,6,1,25,100.0
735,5,0,15,91.5
166,4,1,10,71.8
257,3,1,16,86.4
177,2,1,8,67.8
786,5,1,3,73.8
582,6,1,18,100.0
992,6,0,22,98.6
602,6,0,8,81.3
803,4,0,25,97.8
712,7,0,7,84.5
244,2,1,23,92.1
643,6,1,15,93.3
551,4,0,21,92.5
382,4,0,17,85.0
261,2,0,4,61.4
648,2,1,25,99.0
994,5,0,20,99.2
221,5,1,14,81.5
373,3,0,12,76.8
628,5,0,14,87.3
523,2,1,17,89.1
277,5,0,17,87.8
990,6,0,14,91.4
837,2,0,4,68.7
498,6,0,16,93.9
977,7,1,20,100.0
915,4,1,20,100.0
415,5,1,6,77.9
618,5,0,19,97.8
951,6,0,19,95.7
343,2,0,17,73.7
190,2,1,17,82.8
166,4,1,22,90.4
516,6,1,21,100.0
792,4,0,18,86.4
329,5,1,15,88.6
918,5,0,19,91.2
561,2,0,15,81.5
992,5,1,18,99.5
855,2,1,17,86.0
947,3,1,19,91.2
567,7,1,15,99.3
309,4,1,19,96.1
550,3,1,15,88.6
272,5,0,21,95.8
790,2,1,19,96.1
179,6,1,17,87.7
612,6,0,22,100.0
593,5,0,13,89.2
958,2,1,13,82.1
520,6,0,25,100.0
328,7,0,12,87.5
737,3,1,17,89.1
326,2,1,24,95.4
770,2,1,8,75.6
677,3,1,10,83.5
335,7,0,8,83.4
