Role,Skills,Category,AverageSalary,Location,DemandLevel
Full Stack Developer,"UI Design,ASP.NET,Go,Cybersecurity,Scrum,Django,PowerShell,Spring Boot",Data Science,₹26 LPA,Mumbai,Medium
Scrum Master,"Swift,UI Design,MacOS,Google Cloud,Angular,PHP,SQL,Scikit",Operations,₹14 LPA,New York,Very High
Video Editor,"PostgreSQL,Figma,Terraform,C#,MongoDB,Penetration Testing",IT/Software,₹36 LPA,Hyderabad,Medium
Technical Writer,"Java,Express.js,Ruby,Excel,Scikit,Confluence",Business,₹9 LPA,Bangalore,Very High
Blockchain Developer,"Deep Learning,Go,PowerShell,Kubernetes,Scikit,Express.js",Business,₹44 LPA,Hyderabad,Low
Site Reliability Engineer,"Elasticsearch,Solidity,Express.js",HR,₹44 LPA,London,Low
HR Manager,"Smart Contracts,Kotlin,Pandas,JavaScript,PyTorch,C#",Design,₹12 LPA,Chennai,High
Database Administrator,"Terraform,Computer Vision,GitLab,Swift",Business,₹32 LPA,Bangalore,Very High
Sales Executive,"Linux,Confluence,NoSQL,Ethereum,Cryptography,C++",Data Science,₹13 LPA,Delhi NCR,High
QA Engineer,"GitHub,Django,Elasticsearch",Data Science,₹9 LPA,Mumbai,High
Customer Success Manager,"Machine Learning,Swift,GitLab,Git,TypeScript,Angular,Azure,Sketch",Marketing,₹35 LPA,Delhi NCR,Low
Backend Developer,"Solidity,Scikit,Photoshop",Data Science,₹25 LPA,Bangalore,Medium
UI/UX Designer,"Node.js,Data Analysis,Ruby,C#,SQL,Jira,Jenkins,Ansible",Finance,₹20 LPA,New York,Low
Sales Executive,"Spring Boot,Photoshop,Angular,ASP.NET,Jenkins,Machine Learning,Confluence",IT/Software,₹8 LPA,London,Very High
Data Engineer,"Confluence,Docker,NumPy,Agile,Scikit,PyTorch,Penetration Testing,Data Visualization",Finance,₹25 LPA,Delhi NCR,High
Customer Success Manager,"Illustrator,Confluence,AWS,Windows,Kubernetes,Azure",Data Science,₹28 LPA,New York,Very High
SEO Specialist,"Java,Flask,Excel,Ruby on Rails,Cybersecurity,SQL",Marketing,₹26 LPA,Mumbai,Medium
Technical Recruiter,"Network Security,Bitbucket,Cybersecurity",Design,₹16 LPA,Hyderabad,Low
System Administrator,"Machine Learning,Scikit,Linux,MacOS",HR,₹37 LPA,Delhi NCR,High
Financial Analyst,"Kubernetes,Ethereum,Bitbucket,HTML,UX Design",Marketing,₹28 LPA,New York,Very High
Machine Learning Engineer,"PyTorch,HTML,Linux,Sketch",Finance,₹20 LPA,Mumbai,Very High
HR Manager,"Computer Vision,PostgreSQL,Ansible,Node.js",HR,₹9 LPA,London,Very High
Backend Developer,"NoSQL,Go,PyTorch",HR,₹19 LPA,Mumbai,Medium
Data Engineer,"Angular,Ansible,GitHub,Bash",Business,₹18 LPA,Chennai,Very High
Security Analyst,"Photoshop,Redis,C++,Java,GitLab,MongoDB",Business,₹11 LPA,Delhi NCR,High
Marketing Specialist,"Java,Kubernetes,SQL,Adobe XD,Redis,AWS,GitLab",IT/Software,₹4 LPA,Hyderabad,High
Product Manager,"Terraform,Sketch,Cybersecurity",Business,₹30 LPA,Hyderabad,High
Content Creator,"Ethereum,Terraform,Penetration Testing,Scikit,Node.js",Finance,₹4 LPA,Remote,High
